"institution.name","collection","object_name","object_number","title","description","edition","creator","creator.role","production.place","production.date.start","production.date.start.prec","production.date.notes","production.date.end","production.date.end.prec","material","material.part","technique","technique.part","dimension.notes","dimension.part","dimension.value","dimension.unit","acquisition.date","acquisition.method","acquisition.place","exhibition","exhibition.date.start","exhibition.date.end","exhibition.venue.place","related_object.association","related_object.reference","related_object.title"
"Design Museum Gent","","plat bord","1989-0078_053-103","Plat bord 25 Seagull","Plat bord modelnummer 25 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","3.4","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","soepbord","1989-0078_063-103","Soepbord 22 Seagull","Soepbord modelnummer 22 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","1895","","porselein","geheel","vormgieten","","","geheel","4.7","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","houder","1989-0078_100-103","Houder voor zout-, peper- en mosterdvaatje 52 Seagull","Driehoekige houder voor zout-, peper- en mosterdvaatje modelnummer 52 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","12.3","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","zoutvat","1989-0078_102-103","Zoutstrooier 52 A Seagull","Zoutstrooier modelnummer 52 A behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","zoutvat","vormgieten","","","geheel","7.5","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","nachttafel","1978-0043_0-2","Twee nachttafels voor Villa Les Glycines","Paar nachttafels in pitch pine met bronzen handgrepen naar ontwerp van Paul Hankar voor de cottage Les Glycines van Philippe Wolfers.","","Hankar, Paul","ontwerper","Brussel","1899","","datum ontwerp","1900","","pitch pine","constructie","beeldsnijden","","","","","","1978","aankoop","","","","","","","",""
"Design Museum Gent","","vaas","1989-0078_093-103","Vaasje 191 Seagull","Vaasje modelnummer 191 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","10.5","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","mosterdpot","1989-0078_103-103","Mosterdpot 52 C Seagull","Mosterdpot modelnummer 52 C behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","8.2","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","gebakschaal","1989-0078_040-103","Gebakschaal op voet 206 Seagull","Gebakschaal op voet modelnummer 206 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","7.2","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","bord (vaatwerk)","1989-0078_034-103","Lunchbord 26 Seagull","Lunchbord modelnummer 26 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","2.7","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","couvert","2011-0027_00-10","Bestek 207 Moderne","Bestek 207 Moderne combineert een gestileerde, florale decoratie en een traditioneel ogende vorm. De elegante eenvoud geeft het bestek een uitgesproken belle époquekarakter. Al in 1896 werd een bestek 207 geleverd aan de firma Bonebakker te Amsterdam. Dit laat toe het ontwerp rond die tijd te dateren. Bestekmodel 207 komt meermaals in verkoopcatalogi voor. In de bestekcatalogus van circa 1905 geven vier grote platen een beeld van het gamma eet- en dienbestek.","","Wolfers, Philippe","ontwerper","Brussel","1896","circa","","1975","","zilver","","metaalbewerken","","","","","","","","","","","","","","",""
"Design Museum Gent","","vaas","1987-1091","Vaas met leliedecor","Glazen vaas vervaardigd door Glasfabrik Johann Lötz Witwe in Bohemen. De buikige vaas van opaak glas is binnenin ondoorzichtig bruin en is aan de buitenzijde versierd met een iriserend patroon van golvende lijnen in groen-blauw en bruin (decortype ""Phänomen G[en]re 6893"" met ondergrond ""bronce""). Dit model kreeg in 1898 het productienummer 7492 (nr. 589 vanaf 1900). Het heeft een licht holle bodem. Op de buik van de vaas zijn in zilver gestileerde lelies uitgewerkt. Op 23 november 1898 zijn er 6 modellen 7492 met decor bronce Phänomen gemaakt; er wordt echter geen melding gemaakt van een zilveren opgelegd montuur. Mogelijk is dit dan ook later aangebracht.","","Glasfabrik Johan Loetz-Witwe","uitvoerder","Klášterský Mlýn (voormalig Klostermühle)","1898-11-23","","[Op 23/11/1898 zijn er 6 modellen 7492 met decor bronce Phänomen gemaakt. Zie Lötz - Böhmisches Glas 1880 - 1940. Band II - Katalog der Musterschnitte, p. 390.]","","","glas (materiaal)","vaas","blazen (modelleren)","geheel","","geheel","20.5","cm","1987","legaat","Den Haag","Ravissante Revelaties","2014-04-26","2014-08-31","Gent","","",""
"Design Museum Gent","jaren 1970","kom","1980-0010_1-2","Leerdam Unica MG 78161","De reeks 'Leerdam Unica' omvat de unieke creaties van Glasfabriek Leerdam naast de serieproductie. Mieke Groot ontwierp verschillende unica, waaronder deze kom met deksel. De kom is uitgevoerd in lichtgroen opaak glas.","","Groot, Mieke","ontwerper","Leerdam","1978","","","1978","","glas (materiaal)","geheel","","","","geheel","12.5","cm","1980","aankoop","Leerdam","Hedendaags glas uit eigen kollekties","1993-12-22","1994-02-13","Gent","","",""
"Design Museum Gent","","fluitglas","1981-0001_0-3","Champagneglazen","Set van drie fluitglazen voor champagne. Op de wanden van de glazen is een zweepslagmotief gegraveerd.
Léon Ledru ontwierp deze glazen voor Val-Saint-Lambert. Hij uitte zich hierin als een gelijkdenkende van Henry van de Velde, die zijn ontwerpen toejuichte.
Met dank aan prof. dr. Werner Adriaenssens, conservator Decoratieve Kunsten 20ste eeuw Koninklijke Musea voor Kunst en Geschiedenis Brussel, voor de informatie","","Ledru, Léon","ontwerper","Luik (stad)","1897","circa","dit object is gedateerd op basis van een mededeling door Werner Adriaenssens","1898","circa","kristal (loodglas)","","blazen (modelleren)","","","","","","1981-04","schenking","Brussel","","","","","zelfde ensemble","1977-0031","Wijnglas"
"Design Museum Gent","","kandelaar","FH-0045","Kandelaar Iris","Bronzen kandelaar in de vorm van een naturalistische iris, waarvan drie bladeren naar beneden buigen en dienst doen als pootjes.","","Van Strydonck, Leopold","ontwerper","Brussel","1901","","","1901","","brons","geheel","metaalbewerken","","","geheel","36","cm","1990-07-25","aankoop","Antwerpen (provincie)","Design Derby: Nederland - België (1815-2015)","2016-04-24","2016-10-02","Roermond","","",""
"Design Museum Gent","","vaas","FH-0041","Vaasje","Laag steengoed vaasje met gedrukt lichaam, voorzien van een geschakeerde glazuur.","","Bigot, Alexandre","ontwerper","Parijs","1889","circa","","1914","circa","steengoed","geheel","vormgevingstechniek","geheel","","geheel","6.7","cm","1991-08-12","aankoop","Wilrijk","Ravissante Revelaties","2014-04-26","2014-08-31","Gent","","",""
"Design Museum Gent","","vaas","1987-1389","Vaas met zonnebloem","Aardewerken vaas met twee grote oren, beschilderd aan weerszijden met een grote zonnebloem op een bruine ondergrond. De merken onderop de vaas zijn volledig afgesleten en niet meer leesbaar. Gelet op de vormgelijkenis kan de vaas misschien vervaardigd zijn door Rozenburg (Den Haag) of Wed. Brantjes (Purmerend).
","","onbekend","uitvoerder","Nederland","1900","vermoedelijk","","1915","vermoedelijk","aardewerk","geheel","vormgevingstechniek","","","geheel","20.3","cm","1987","legaat","Den Haag","Collectie in progress","2016-05-18","2018-04-02","Gent","","",""
"Design Museum Gent","","plat bord","1989-0078_051-103","Plat bord 25 Seagull","Plat bord modelnummer 25 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","3.3","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","plat bord","1989-0078_048-103","Plat bord 25 Seagull","Plat bord modelnummer 25 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","3.3","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","vaas","1987-1213","Distelvaas met wegdraaiende oren","Aardewerken blauwe gespikkelde vaas met slingerende oren, met de voorstelling van oranje distels temidden van gras; decor uitgevoerd in diverse engobes, voorzien van een transparante glanzende glazuur;
modelnummer 39A, verkoopcatalogus plaat 2; de vaas met modelnummer 39 is qua vorm en grootte gelijkaardig maar heeft negen rechte, verticaal geplaatste oren","","onbekend","ontwerper","","1898","","datum uitvoering [1898 is het jaar van de start van het bedrijf]","1914","circa","aardewerk","geheel","draaien (pottenbakkerstechniek)","geheel","","geheel","19.2","cm","1987","legaat","Den Haag","Ravissante Revelaties","2014-04-26","2014-08-31","Gent","","",""
"Design Museum Gent","","asbak","1429","Asbak Meikever op eikenblad","Asbak in de vorm van een hoopje eikenbladeren. In het midden van de asbak zit een meikever, aan de zijkant liggen twee eikels.
De asbak is mogelijk een ontwerp van Henri Bergé voor Daum. Bergé heeft in samenwerking met Amalric Walter verschillende objecten gedecoreerd met insecten vervaardigd. Het is niet gesigneerd met zijn naam.","","Daum Frères","uitvoerder","Nancy","1908","circa","dit object is gedateerd op basis van de periode dat Walter en Bergé werkzaam waren bij Daum","1914","circa","pâte de verre","geheel","vormgieten","","","geheel","8.2","cm","1923","","","De Art Nouveau verzameling uit het Museum voor Sierkunst","1979-09-21","1979-10-27","Limburg (provincie, België)","","",""
"Design Museum Gent","","suikerpot","FH-0038_2-4","Suikerpot Le Maraudeur","De zilveren suikerpot versierd met roggenhuidpatroon en een klauterende putto is binnenin verguld. Hij maakt deel uit van een vierdelig koffieservies gekend onder de naam ""Le Maraudeur"".","","Wolfers, Philippe","ontwerper","Brussel","1885","circa","datum ontwerp","1890","circa","zilver","geheel","metaalbewerken","","","geheel","9.8","cm","1990-11-13","aankoop","Antwerpen (stad)","De dynastie Wolfers. Meesters in zilver","2006-12-16","2007-04-09","Gent","","",""
"Design Museum Gent","","servetring","FH-0096_0-3","Servetringen met roggenhuidpatroon en eierdopje","","","Wolfers, Philippe","ontwerper","Brussel","1885","circa","","1890","circa","","","","","","","","","2006-05-24","aankoop","","Louis, Philippe & Marcel Wolfers. Meesters in Zilver","2006-12-16","2007-04-09","Gent","","",""
"Design Museum Gent","","bord (vaatwerk)","1989-0078_036-103","Lunchbord 26 Seagull","Lunchbord modelnummer 26 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","3","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","couvert","2011-0026_00-11","Bestek 203 Moderne","Zilveren bestek 203 Moderne van Wolfers Frères. Een gestileerd irismotief geeft bestekmodel 203 zijn art-nouveaulook. Aan de achterzijde van de vorken en de lepels en bij het vismes op de aanzet van het heft ontluikt telkens één bloem. Uitgaand van een chronologische nummering van de bestekontwerpen mag worden aangenomen dat de ontwerpdatum nog vroeger ligt. Bestek 207 was immers al medio jaren 1890 te koop (cf. inv. nr. 2011-0027). Nochtans komt het model 203 niet voor in de bestekcatalogus van circa 1905.","","Wolfers, Philippe","ontwerper","Brussel","1895","circa","","1975","","zilver","geheel","metaalbewerken","","","","","","","","","","","","","","",""
"Design Museum Gent","","vaas","1987-1085","Vaas met verzilverd montuur","Glazen vaas met geel iriserend oppervlak, aan de opening en centraal op de vaas afgewerkt met een rand en een siermotief in verzilverd metaal. In de gestileerde fries is invloed uit de Weense art nouveau duidelijk aanwezig.
De vaas is waarschijnlijk vervaardigd in Bohemen, maar wacht nog op een preciezere toeschrijving aan een glasfabriek.
Het gevlekte patroon op de buik toont verwantschap met het decor Papillon van Glasfabrik Johann Lötz Witwe; op de hals is het patroon als het ware verticaal uitgeveegd, alsof het de uitlenging van de hals volgt. De vaas met zilveren montuur inv. nr. 87/1084 vertoont een gelijkaardig gevlekt en uitgeveegd patroon.","","onbekend","uitvoerder","Bohemen","1900","circa","dit object is gedateerd op basis van stilistische kenmerken","1915","circa","glas (materiaal)","vaas","blazen (modelleren)","","","geheel","11.6","cm","1987","legaat","Den Haag","","","","","","1987-1084","Vaas met zilveren montuur"
"Design Museum Gent","","boterschaal","1989-0078_084-103","Boterschaaltje 200 Seagull","Boterschaaltje modelnummer 200 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","2","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","soepbord","1989-0078_060-103","Soepbord 22 Seagull","Soepbord modelnummer 22 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","5","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","jaren 1960","bord (vaatwerk)","1989-0078_037-103","Seagull 26","Dit lunchbord behoort tot het servies 'Seagull' met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Hallin, Frederik August","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","geheel","","geheel","2.7","cm","1990-02-14","aankoop","Gent","","","","","","",""
"Design Museum Gent","","kom","2006-0106_0-2","Kom Raisins met dienlepel","Zoals bij het dienblad Raisins (inv.nr. 1987-0448) bestaan de grepen van de kom en de lepel uit imitatietwijgen in gegoten zilver. Aan de vertakkingen van de lepelsteel ontluiken kleine blaadjes. Op de wand van de binnenin vergulde kom is een decor van druivenranken met bladeren en vruchten geciseleerd. Enkel op de lepel komt een Duits keurmerk voor.
","","Wolfers, Philippe","ontwerper","Brussel","1897","circa","","1900","circa","zilver","geheel","metaalbewerken","","","","","","","aankoop","Gent","Collectie in progress","2016-05-18","2018-04-02","Gent","","1987-0448","Dienblad Raisins"
"Design Museum Gent","","bord (vaatwerk)","1989-0078_033-103","Lunchbord 26 Seagull","Lunchbord modelnummer 26 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","2.7","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","plat bord","1989-0078_054-103","Plat bord 25 Seagull","Plat bord modelnummer 25 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","1895","","porselein","geheel","vormgieten","","","geheel","3.4","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","plat bord","1989-0078_050-103","Plat bord 25 Seagull","Plat bord modelnummer 25 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","3","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","bord (vaatwerk)","1989-0078_032-103","Lunchbord 26 Seagull","Lunchbord modelnummer 26 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","3","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","schoteltje","1989-0078_010-103","Schoteltje 102 Seagull","Schoteltje modelnummer 102 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","2.3","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","jaren 1960","broodbord","1989-0078_025-103","Seagull 28 A","Dit broodbord behoort tot het servies 'Seagull' met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Hallin, Frederik August","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","geheel","","geheel","2.2","cm","1990-02-14","aankoop","Gent","","","","","","",""
